Cursos,Cargos,Preço Original,Preço Atual,Link
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
"Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",Assistente em administração/ Assistente de Alunos,597.0,394.02,https://carranzacursos.com.br/product/ifbaiano/
Superintendência do sistema Estadual de Atendimento Socioeducativo (SEAS CE),,497.0,273.35,https://carranzacursos.com.br/product/seasce/
Concurso Nacional Unificado (CNU),,997.0,498.5,https://carranzacursos.com.br/product/cnu/
Superintendência Executiva de Mobilidade Urbana (SEMOB),Agente de Mobilidade Urbana,597.0,394.02,https://carranzacursos.com.br/product/semob/
Assinatura Professor Titanium,,997.0,598.2,https://carranzacursos.com.br/product/professortitanium/
Assinatura Titanium AdmFlix,,1997.0,797.0,https://carranzacursos.com.br/product/admflix-titanium/
Secretaria Estadual de Educação do Rio Grande do Norte (SEEC RN),Professor da Rede Estadual,597.0,298.5,https://carranzacursos.com.br/product/seecrn/
Assembleia Legislativa do Tocantins (ALE-TO),Técnico Legislativo | Assistência Administrativa,597.0,429.84,https://carranzacursos.com.br/product/aleto/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Administrador,597.0,382.08,https://carranzacursos.com.br/product/ifac-administrador/
"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",Assistente em administração | Assistente de alunos,597.0,382.08,https://carranzacursos.com.br/product/ifac-adm-alunos/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Analista Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-al/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Técnico Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-tl/
Assembleia Legislativa do Tocantins (ALE-TO),Conhecimentos Gerais para Policial Legislativo,497.0,298.5,https://carranzacursos.com.br/product/cg-pl/
Instituto Federal do Rio Grande do Norte (IFRN),Assistente em Administração / Assistente de alunos,597.0,394.02,https://carranzacursos.com.br/product/ifrn-assistente/
Instituto Federal do Rio Grande do Norte (IFRN),Pedagogo,597.0,394.02,https://carranzacursos.com.br/product/ifrn-pedagogo/
Universidade Federal de Pelotas – RS (UFPEL),Assistente em Administração,597.0,397.0,https://carranzacursos.com.br/product/ufpel/
